Time	numpids	numthreads	maxprocessors	maxcores	maxcpus	cpu_ids	sumuss	sumswap	sum_read_count	sum_write_count	sum_read_bytes	sum_write_bytes	sum_read_chars	sum_write_chars
2025-11-05 17:34:50	3	3	3	3	1	1	9805824	0	247697	224150	90112	366391296	2256635996	1806939033
2025-11-05 17:34:51	3	3	3	3	1	1	9805824	0	269294	253268	90112	366391296	2372321372	1911051587
2025-11-05 17:34:52	3	3	3	3	1	1	9805824	0	288608	275236	90112	366391296	2476015708	2002817555
2025-11-05 17:34:53	3	3	3	3	1	1	9805824	0	325530	303004	90112	366391296	2669117532	2186366744
2025-11-05 17:34:55	3	3	3	3	1	1	9805824	0	390202	344730	90112	366391296	3002859612	2513183427
2025-11-05 17:34:56	3	3	3	3	1	1	9805824	0	410328	363470	90112	366391296	3110781020	2608662228
2025-11-05 17:34:57	3	3	3	3	1	1	9805824	0	429366	379787	90112	366391296	3213033564	2698433974
2025-11-05 17:34:58	3	3	3	3	1	1	9805824	0	451322	397211	90112	366391296	3330367580	2802941980
2025-11-05 17:34:59	3	3	3	3	1	1	9805824	0	471745	414976	90112	366391296	3439951964	2899767681
2025-11-05 17:35:00	3	3	3	3	1	1	9805824	0	490454	430744	90112	366391296	3540787292	2987442472
2025-11-05 17:35:01	3	3	3	3	1	1	9805824	0	507981	449095	90112	366391296	3635445852	3069336202
2025-11-05 17:35:02	3	3	3	3	1	1	9805824	0	528124	467735	90112	366391296	3743473756	3164749458
